Population size: 100;;;
Generation amount: 100;;;
Crossing probability: 0,7;;;
Mutation probability: 0,1;;;
Tournament parameter: 5;;;
;;;
;;;
Deviation : 10972,6082452753;;;
PopulationNumber;Best;Average;Worst
1;-161220,2664;-227694,7306;-293185,3412
2;-149073,7624;-207700,5148;-271347,593
3;-140851,3784;-199784,1553;-260539,2207
4;-137909,6433;-195209,8201;-257422,3835
5;-134318,1112;-191243,6601;-252409,7031
6;-133109,7159;-188981,6631;-253095,6448
7;-132040,2964;-186584,5319;-257613,0395
8;-129464,3346;-183775,5746;-249631,3397
9;-129539,4884;-183192,4599;-244389,7515
10;-126380,12;-181208,0852;-244735,1254
11;-123817,5346;-177866,5747;-238707,8255
12;-124723,8533;-178406,3887;-239230,8376
13;-123464,2677;-178163,4235;-246693,2133
14;-128469,0112;-181196,7584;-245373,5273
15;-120672,107;-176390,0788;-245926,955
16;-122795,6056;-177015,6385;-245727,4064
17;-120515,9805;-176066,9446;-243509,4924
18;-122696,1051;-173675,7321;-241072,5784
19;-118172,1965;-172806,4941;-233125,9895
20;-122418,1892;-171301,0238;-240143,441
21;-116978,6393;-169329,5864;-231981,7748
22;-117752,9122;-170286,4619;-240875,48
23;-115384,8338;-169381,3885;-231679,2675
24;-117216,8356;-168269,8669;-235437,6194
25;-114719,8239;-166541,5933;-233628,7849
26;-113646,5925;-166955,6972;-231329,6081
27;-113549,1165;-165857,017;-238197,3843
28;-113118,2044;-164964,6111;-235245,6659
29;-114009,0935;-163046,9951;-224053,3127
30;-111671,8652;-166180,6944;-229937,7092
31;-111359,4483;-166592,1976;-228603,635
32;-112354,683;-163665,247;-230624,021
33;-111503,0202;-164867,8177;-232505,9167
34;-114264,8465;-166651,2839;-227412,2515
35;-114302,9707;-165791,7703;-227409,4238
36;-114043,1902;-165804,5089;-233019,9036
37;-113238,5947;-163236,7813;-231059,7517
38;-111775,4457;-162852,3964;-237255,9181
39;-112979,4626;-161877,6879;-230013,796
40;-112904,2248;-163423,4418;-223629,0281
41;-114114,5733;-161996,2277;-229323,7571
42;-110550,0379;-159270,9067;-228960,9723
43;-112263,3429;-160053,7445;-222940,9332
44;-110184,5322;-155900,5356;-222105,0052
45;-108648,1143;-154432,3016;-225356,273
46;-109876,0723;-153239,505;-218194,8864
47;-107910,936;-154600,6134;-224481,9755
48;-108839,2778;-155130,883;-225330,0799
49;-108133,1704;-153969,7337;-224524,7659
50;-109507,8116;-152467,1326;-224401,6126
51;-104852,2962;-152083,4855;-222344,6006
52;-106459,7409;-149365,728;-223286,6584
53;-106181,0298;-149168,1747;-220986,385
54;-104740,4742;-147939,3381;-212685,5721
55;-104769,8414;-149301,7262;-223824,7297
56;-105982,6014;-147283,0515;-216033,1841
57;-104685,8915;-146644,0777;-216791,3771
58;-102114,4922;-145786,2806;-214934,4787
59;-101746,029;-145511,9212;-210286,0384
60;-101910,2635;-144086,7511;-219303,6404
61;-101542,7364;-143829,9855;-217247,0875
62;-99809,18754;-142172,769;-216445,7768
63;-103223,3824;-142252,6284;-208541,0171
64;-97918,8584;-141442,2299;-218341,1569
65;-97098,05018;-139933,3771;-218052,5064
66;-98264,34647;-139895,3904;-210056,7069
67;-98726,81821;-138430,948;-209310,585
68;-98647,0096;-139417,0734;-213210,9793
69;-98953,56556;-140322,5267;-216216,8034
70;-99368,71553;-139559,8957;-214356,3904
71;-97442,26057;-138640,7778;-216692,8393
72;-98090,03147;-138786,6782;-213592,6944
73;-98908,87462;-141903,1184;-210750,6338
74;-97285,36434;-140136,9246;-208952,1147
75;-96080,40498;-141283,2629;-210082,0423
76;-96264,51846;-140317,9887;-206241,3306
77;-94133,88848;-138842,5839;-208677,6675
78;-97023,7184;-139583,8069;-212448,3895
79;-96867,76104;-139586,8487;-216469,1652
80;-97259,75929;-140068,6134;-220329,4451
81;-97430,53531;-139257,0548;-207916,5114
82;-96570,57115;-141259,632;-212630,1181
83;-98875,33741;-139337,6175;-214969,3575
84;-97943,17327;-141333,3639;-214738,8727
85;-98928,96432;-141080,7166;-211892,2033
86;-98295,87038;-140210,4263;-217185,3589
87;-97385,13549;-137286,1804;-212117,9098
88;-99312,69146;-137528,3089;-208861,341
89;-97307,32361;-139833,7631;-211695,2462
90;-95865,68663;-138931,5283;-212012,3319
91;-93742,3565;-136671,1175;-215446,4528
92;-95079,05294;-140404,3335;-208057,1289
93;-93065,78255;-138701,1455;-212898,3161
94;-94330,43551;-136926,1596;-211665,3173
95;-94605,49364;-136206,5069;-210147,1597
96;-95604,24637;-136011,0172;-209650,988
97;-96763,60595;-136293,8063;-210850,1924
98;-95338,45413;-136619,91;-210558,8707
99;-95637,14672;-135895,7453;-211382,4887
100;-95319,54867;-134848,3284;-210636,88
