Population size: 10;;;
Generation amount: 1000;;;
Crossing probability: 0,7;;;
Mutation probability: 0,1;;;
Tournament parameter: 2;;;
;;;
;;;
Deviation : 1580231,1789883;;;
PopulationNumber;Best;Average;Worst
135;-1572529,265;-1589948,22;-1608424,274
136;-1574657,429;-1593121,401;-1615386,107
137;-1578368,378;-1595621,599;-1616621,25
138;-1575388,969;-1592612,198;-1615396,403
139;-1576329,905;-1590684,958;-1610481,814
140;-1573461,031;-1589204,481;-1605841,541
141;-1571679,478;-1590634,794;-1612450,09
142;-1567286,372;-1585629,899;-1608228,971
143;-1567258,364;-1584534,688;-1609281,881
144;-1567207,168;-1583372,994;-1603564,721
145;-1564976,38;-1583395,018;-1604884,803
146;-1563081,078;-1580615,418;-1597311,265
147;-1564627,273;-1581237,295;-1597066,152
148;-1565395,512;-1583445,58;-1605306,026
149;-1566800,065;-1583034,581;-1600486,476
150;-1561943,573;-1582945,742;-1606430,907
151;-1562830,284;-1580652,703;-1600704,185
152;-1563608,219;-1580808,506;-1597240,685
153;-1564073,07;-1581708,048;-1603276,445
154;-1564258,89;-1579981,92;-1602528,21
155;-1562772,113;-1578681,799;-1597821,595
156;-1561915,031;-1579449,198;-1596725,998
157;-1557960,483;-1578532,294;-1602495,483
158;-1561284,486;-1576793,235;-1596018,858
159;-1564030,123;-1579851,23;-1597124,386
160;-1560656,196;-1581229,625;-1598682,837
161;-1561999,873;-1581195,627;-1601919,233
162;-1561602,249;-1580957,642;-1601969,92
163;-1562877,011;-1581607,31;-1602922,038
164;-1557879,346;-1578131,335;-1604119,626
165;-1556337,269;-1575066,56;-1592527,352
166;-1560684,643;-1576448,479;-1596554,541
167;-1558642,331;-1577502,191;-1600240,049
168;-1557512,547;-1577455,51;-1592364,864
169;-1559353,43;-1574854,047;-1594353,925
170;-1555942,33;-1573199,405;-1594631,13
171;-1556334,834;-1571817,107;-1589519,247
172;-1554487,711;-1571147,835;-1590232,248
173;-1553345,728;-1572302,988;-1596922,533
174;-1551908,654;-1572458,067;-1594128,34
175;-1550084,815;-1570804,365;-1594371,936
176;-1548157,039;-1566485,396;-1589050,334
177;-1549382,108;-1568522,145;-1591586,581
178;-1548542,775;-1567580,278;-1590425,575
179;-1547020,692;-1569517,196;-1596646,722
180;-1547031,568;-1566232,402;-1586045,495
181;-1547725,627;-1567418,757;-1587511,534
182;-1548003,207;-1567544,891;-1593512,092
183;-1548829,799;-1565686,575;-1585351,836
184;-1544236,196;-1564772,216;-1585688,788
185;-1544612,242;-1564020,561;-1584194,993
186;-1546046,511;-1562099,456;-1582547,06
187;-1544223,847;-1560949,005;-1578688,416
188;-1542886,643;-1559895,166;-1576854,126
189;-1539858,156;-1556263,157;-1570696,96
190;-1539320,611;-1557651,377;-1576775,654
191;-1539329,173;-1558781,212;-1581447,267
192;-1542790,817;-1555806,899;-1571494,927
193;-1543714,745;-1558915,361;-1577510,409
194;-1541435,548;-1558357,264;-1581333,394
195;-1541500,3;-1558695,339;-1574744,324
196;-1545920,402;-1562137,003;-1581547,306
197;-1545990,994;-1559546,078;-1576504,812
198;-1540379,015;-1560885,54;-1579691,833
199;-1545144,993;-1560634,675;-1578798,396
200;-1544432,004;-1560877,187;-1581465,975
201;-1546484,507;-1561717,298;-1585969,402
202;-1546578,287;-1563662,308;-1585570,266
203;-1544264,24;-1561494,407;-1578927,306
204;-1546990,725;-1563090,152;-1584561,012
205;-1548161,495;-1564472,98;-1581180,459
206;-1545155,696;-1564433,321;-1585015,669
207;-1544758,61;-1565313,766;-1585844,33
208;-1544700,329;-1565255,193;-1585403,583
209;-1548171,053;-1569238,229;-1589569,093
210;-1554320,753;-1570576,257;-1592957,949
211;-1554955,954;-1570594,751;-1590963,64
212;-1554262,284;-1570581,862;-1587751,143
213;-1554056,112;-1569929,095;-1591526,141
214;-1552078,888;-1570031,132;-1589314,637
215;-1553389,215;-1570590,973;-1593272,669
216;-1556018,076;-1572733,39;-1590652,302
217;-1558817,549;-1576036,87;-1596764,491
218;-1564293,439;-1580077,283;-1599197,899
219;-1560070,613;-1576563,222;-1594153,268
220;-1558765,593;-1573161,284;-1590702,46
221;-1554197,041;-1572872,314;-1593445,819
222;-1553962,267;-1570983,486;-1591667,172
223;-1552117,992;-1569340,253;-1590351,169
224;-1551380,237;-1569391,099;-1588476,626
225;-1549550,816;-1567413,651;-1588707,183
226;-1550883,345;-1568120,006;-1590380,749
227;-1550992,72;-1566944,787;-1586351,439
228;-1551783,735;-1568578,529;-1591449,619
229;-1554028,478;-1566920,001;-1586292,035
230;-1549836,652;-1565566,684;-1580128,045
231;-1553032,859;-1567983,625;-1587888,471
232;-1550558,715;-1569238,389;-1585963,771
233;-1550689,547;-1568329,124;-1588096,159
234;-1552218,415;-1570562,83;-1595472,598
235;-1554464,218;-1571490,65;-1594900,207
236;-1552033,531;-1572557,108;-1598396,776
237;-1552373,266;-1569654,22;-1594527,995
238;-1552988,099;-1571467,394;-1594144,227
239;-1554486,186;-1572652,578;-1591123,208
240;-1556440,227;-1575544,022;-1598471,707
241;-1555732,832;-1575077,324;-1596882,399
242;-1558938,767;-1577676,259;-1604295,298
243;-1558857,091;-1578468,026;-1598695,582
244;-1558531,672;-1578722,29;-1599428,922
245;-1558379,53;-1578251,061;-1599474,43
246;-1555980,077;-1576160,614;-1599233,739
247;-1559322,007;-1575804,897;-1597055,216
248;-1559435,929;-1575912,185;-1600424,074
249;-1558295,199;-1576224,431;-1599942,688
250;-1560379,693;-1575995,142;-1600291,358
251;-1558191,003;-1575117,115;-1595843,884
252;-1557512,795;-1575261,862;-1596018,121
253;-1557392,519;-1576219,637;-1592525,864
254;-1555529,941;-1573753,504;-1592630,258
255;-1557893,263;-1574760,482;-1596743,314
256;-1557404,324;-1578693,945;-1600343,574
257;-1557984,448;-1578957,014;-1600177,076
258;-1558654,937;-1581433,331;-1604381,716
259;-1558886,812;-1579638,885;-1604809,044
260;-1555522,456;-1578827,242;-1601081,267
261;-1562030,875;-1579064,714;-1599183,079
262;-1561051,175;-1577600,427;-1596712,871
263;-1564864,395;-1582201,262;-1603619,936
264;-1560846,065;-1579672,403;-1600145,373
265;-1559070,183;-1577125,972;-1599115,724
266;-1561613,175;-1580337,073;-1605194,493
267;-1562578,66;-1579593,206;-1601485,343
268;-1568113,799;-1581794,271;-1599758,928
269;-1567885,559;-1581999,724;-1600561,729
270;-1566382,235;-1581477,655;-1601780,791
271;-1562865,917;-1579332,427;-1602133,715
272;-1565866,251;-1582354,341;-1605798,388
273;-1562821,863;-1581467,175;-1604822,385
274;-1562566,382;-1579691,682;-1600473,685
275;-1563831,568;-1577577,111;-1594763,67
276;-1561130,873;-1576605,245;-1603428,805
277;-1554176,047;-1574816,834;-1596282,846
278;-1556177,199;-1574295,04;-1596045,745
279;-1554106,967;-1570910,318;-1593493,203
280;-1548788,074;-1569270,051;-1590007,791
281;-1554699,703;-1570025,905;-1589793,548
282;-1552153,126;-1569583,498;-1589107,583
283;-1551520,015;-1569051,518;-1587188,266
284;-1547313,023;-1566213,543;-1586312,905
285;-1550462,695;-1567463,768;-1584431,964
286;-1550129,965;-1566802,627;-1586439,857
287;-1548922,486;-1566389,878;-1586142,752
288;-1549591,669;-1566554,82;-1589238,5
289;-1547591,397;-1567351,749;-1589679,657
290;-1547050,76;-1567290,803;-1586601,88
291;-1550823,294;-1567225,229;-1586923,037
292;-1548751,905;-1566303,93;-1593369,597
293;-1546486,627;-1565407,938;-1583560,486
294;-1551208,189;-1566285,286;-1583268,36
295;-1547028,36;-1567949,688;-1588463,32
296;-1551581,836;-1568864,816;-1588284,695
297;-1553330,905;-1569248,124;-1590063,637
298;-1550134,931;-1567157,089;-1584506,632
299;-1552013,139;-1568527,552;-1589936,207
300;-1553884,012;-1569787,891;-1588994,608
301;-1555119,297;-1571169,911;-1594728,065
302;-1557146,196;-1571997,286;-1588772,751
303;-1555557,295;-1573202,785;-1590677,237
304;-1555215,546;-1572249,122;-1592647,478
305;-1553916,345;-1569279,794;-1585563,445
306;-1549090,374;-1568462,109;-1590887,304
307;-1548793,633;-1565219,933;-1590143,294
308;-1546284,916;-1563781,521;-1585119,161
309;-1547891,18;-1562822,978;-1580976,875
310;-1546300,356;-1560041,214;-1578282,3
311;-1542719,27;-1558968,008;-1574220,268
312;-1545386,083;-1558790,751;-1577331,191
313;-1544652,08;-1558637,267;-1577739,516
314;-1544433,283;-1558952,807;-1576245,111
315;-1545327,248;-1561249,764;-1578886,571
316;-1545083,581;-1561150,288;-1581038,083
317;-1542701,668;-1561514,742;-1582480,061
318;-1539848,99;-1557450,325;-1578338,867
319;-1541804,878;-1558347,483;-1577380,5
320;-1542492,056;-1556726,504;-1574074,6
321;-1543633,634;-1559003,508;-1577568,433
322;-1544727,352;-1561528,178;-1583483,651
323;-1542919,245;-1562431,291;-1584078,965
324;-1538485,926;-1561286,143;-1578842,461
325;-1541747,609;-1561754,001;-1581790,579
326;-1543729,32;-1561510,156;-1582469,751
327;-1546070,693;-1563275,079;-1584718,991
328;-1547005,899;-1561007,883;-1581417,569
329;-1541001,141;-1562285,509;-1584986,215
330;-1538169,833;-1560120,705;-1582284,474
331;-1542686,802;-1557112,348;-1574663,734
332;-1542435,921;-1556564,017;-1574232,027
333;-1538883,349;-1554878,221;-1572712,962
334;-1538891,355;-1556420,005;-1574955,545
335;-1539801,861;-1556565,153;-1574938,809
336;-1536818,227;-1557293,246;-1578964,217
337;-1535120,016;-1554475,87;-1579796,682
338;-1532870,648;-1554667,419;-1580547,204
339;-1535417,264;-1553579,661;-1579897,962
340;-1538157,562;-1557049,801;-1578010,081
341;-1540611,945;-1557546,133;-1581728,136
342;-1537554,913;-1556490,546;-1577430,999
343;-1536546,693;-1555413,918;-1578964,365
344;-1538261,654;-1554394,273;-1573514,244
345;-1535508,739;-1554297,423;-1576580,802
346;-1533557,848;-1555170,02;-1577273,128
347;-1533676,717;-1552635,44;-1572301,891
348;-1533546,142;-1554429,18;-1583088,725
349;-1536392,892;-1555354,064;-1579838,025
350;-1538482,885;-1555451,111;-1573892,022
351;-1537140,897;-1553700,907;-1570591,185
352;-1538028,88;-1554491,974;-1574870,22
353;-1539075,337;-1555151,03;-1575837,172
354;-1539468,224;-1554966,712;-1577156,388
355;-1538490,492;-1556505,153;-1574242,657
356;-1537100,009;-1556937,28;-1577688,9
357;-1538129,532;-1557122,7;-1578053,84
358;-1535558,277;-1555158,116;-1576419,2
359;-1534268,042;-1552761,193;-1575179,125
360;-1535216,21;-1552266,425;-1572706,583
361;-1537502,608;-1553326,225;-1573504,504
362;-1540801,962;-1556775,088;-1578736,535
363;-1539653,33;-1556067,406;-1577227,847
364;-1538337,422;-1557414,921;-1579626,991
365;-1542664,16;-1560151,347;-1581611,475
366;-1542463,663;-1560924,394;-1583167,511
367;-1543440,289;-1560871,68;-1581203,661
368;-1540941,513;-1559344,782;-1582827,001
369;-1536846,883;-1555595,274;-1578319,28
370;-1542213,249;-1557390,166;-1574897,02
371;-1545432,307;-1559373,394;-1578264,996
372;-1541553,294;-1559838,335;-1579624,426
373;-1542651,534;-1560914,297;-1578122,208
374;-1546426,649;-1562602,605;-1582629,147
375;-1546055,827;-1562600,962;-1582106,874
376;-1547861,103;-1563076,906;-1586678,843
377;-1542784,697;-1564143,396;-1586758,378
378;-1545847,489;-1563468,332;-1582697,157
379;-1549555,043;-1567237,538;-1589077,365
380;-1550778,755;-1565912,771;-1583765,442
381;-1549956,711;-1566338,281;-1587962,504
382;-1549114,258;-1566093,439;-1588749,441
383;-1546340,62;-1563418,597;-1582098,121
384;-1545795,021;-1562235,807;-1581770,364
385;-1544084,24;-1562857,23;-1586647,696
386;-1544766,444;-1562061,39;-1585958,137
387;-1541905,612;-1558339,877;-1577218,215
388;-1535209,298;-1556667,639;-1578108,432
389;-1534995,069;-1554209,011;-1574357,789
390;-1535491,363;-1553490,157;-1572308,089
391;-1531806,497;-1549306,393;-1572359,89
392;-1536890,563;-1550720,325;-1567894,927
393;-1535731,461;-1555620,701;-1579526,573
394;-1537018,699;-1553788,686;-1571935,566
395;-1538608,304;-1557546,124;-1581530,326
396;-1537741,111;-1558632,893;-1576597,01
397;-1538445,23;-1558802,15;-1580307,14
398;-1536505,22;-1559744,8;-1583275,389
399;-1536645,216;-1557794,436;-1581336,007
400;-1537673,364;-1556738,525;-1578273,738
401;-1540845,937;-1558467,166;-1579259,935
402;-1543480,212;-1560606,992;-1580308,153
403;-1542127,437;-1559274,395;-1579536,166
404;-1544945,723;-1562335,592;-1585664,126
