Population size: 100;;;
Generation amount: 100;;;
Crossing probability: 0,7;;;
Mutation probability: 0,1;;;
Tournament parameter: 5;;;
;;;
;;;
Deviation : 18717,0636176134;;;
PopulationNumber;Best;Average;Worst
1;-1803455,515;-1903183,51;-1999424,749
2;-1770970,583;-1860683,838;-1951747,403
3;-1751488,464;-1834876,59;-1934939,1
4;-1729093,577;-1809738,557;-1899325,59
5;-1715540,238;-1792668,932;-1881319,172
6;-1700157,463;-1775150,916;-1861159,418
7;-1681931,66;-1759576,226;-1839171,66
8;-1671636,009;-1743066,758;-1821035,771
9;-1659715,66;-1728627,081;-1806883,27
10;-1647703,231;-1713781,012;-1797543,216
11;-1628491,622;-1699971,159;-1776138,036
12;-1620558,768;-1688456,76;-1759625,206
13;-1619640,768;-1679719,705;-1753496,387
14;-1612813,552;-1671146,337;-1746480,086
15;-1601239,165;-1661704,528;-1721787,197
16;-1593986,487;-1653253,69;-1728728,586
17;-1583296,687;-1645188,276;-1712080,597
18;-1577270,871;-1636006,585;-1700695,113
19;-1568058,505;-1626990,354;-1690051,266
20;-1558896,038;-1617958,052;-1678656,14
21;-1557258,876;-1611473,185;-1672457,28
22;-1549322,768;-1603287,332;-1663975,182
23;-1538651,953;-1594918,405;-1662533,027
24;-1533927,022;-1586690,832;-1650057,151
25;-1522658,631;-1580214,833;-1640436,711
26;-1520529,941;-1572052,606;-1637509,001
27;-1510885,188;-1562127,25;-1618823,419
28;-1502820,96;-1555176,396;-1615964,527
29;-1495976,063;-1547465,173;-1604359,963
30;-1488470,227;-1540765,125;-1604312,534
31;-1482694,659;-1534345,314;-1595213,113
32;-1471445,956;-1529573,771;-1583857,386
33;-1474390,566;-1524494,924;-1585390,748
34;-1474304,424;-1519653,379;-1581149,391
35;-1466570,703;-1516758,596;-1575623,886
36;-1458667,735;-1512864,075;-1567728,24
37;-1454450,054;-1507077,029;-1560972,704
38;-1454532,713;-1503812,787;-1558733,66
39;-1453887,742;-1502077,157;-1559885,153
40;-1448698,401;-1500008,464;-1560205,19
41;-1452831,526;-1496857,849;-1550097,89
42;-1447825,501;-1495243,91;-1555479,316
43;-1444894,553;-1493125,321;-1542047,673
44;-1447197,945;-1491168,849;-1551200,305
45;-1443225,445;-1489277,873;-1545373,333
46;-1444050,177;-1487772,183;-1539913,299
47;-1435685,891;-1485577,306;-1537748,248
48;-1427501,5;-1480354,863;-1537747,529
49;-1424635,384;-1474901,343;-1532463,278
50;-1419105,211;-1471129,307;-1521484,519
51;-1420857,491;-1464872,782;-1517899,177
52;-1418990,042;-1460789,769;-1511007,511
53;-1410414,57;-1458235,636;-1515284,113
54;-1412809,678;-1455120,482;-1510061,376
55;-1405588,643;-1453219,918;-1504956,642
56;-1404437,191;-1449361,731;-1503225,221
57;-1398324,896;-1446978,752;-1503919,961
58;-1396982,454;-1443840,753;-1498219,237
59;-1392310,757;-1441078,957;-1490015,715
60;-1391766,437;-1436842,138;-1488769,168
61;-1387213,923;-1432008,422;-1485181,189
62;-1389570,901;-1429556,16;-1479987,302
63;-1384154,896;-1426765,307;-1480163,38
64;-1380025,961;-1424758,469;-1479403,893
65;-1380280,047;-1421314,061;-1472980,71
66;-1375861,294;-1419528,503;-1470399,103
67;-1374694,914;-1417834,864;-1469906,61
68;-1372241,771;-1414743,711;-1466318,865
69;-1371292,625;-1413894,618;-1461654,253
70;-1369043,327;-1410652,217;-1462926,175
71;-1366476,77;-1408108,854;-1460407,635
72;-1365738,004;-1404563,709;-1455131,073
73;-1358541,16;-1401518,749;-1450910,454
74;-1357788,675;-1398282,224;-1451136,391
75;-1356118,011;-1395729,236;-1442517,993
76;-1351427,336;-1395256,154;-1440278,986
77;-1348730,568;-1393456,292;-1442821,724
78;-1342950,175;-1389923,959;-1440511,684
79;-1346277,402;-1389081,726;-1443492,288
80;-1342781,114;-1387967,479;-1439287,533
81;-1343092,093;-1386501,125;-1433208,722
82;-1340703,763;-1384041,399;-1437121,549
83;-1339038,329;-1382384,644;-1432700,581
84;-1337674,578;-1381322,243;-1431274,327
85;-1335514,593;-1379556,874;-1428417,41
86;-1329820,279;-1379116,147;-1430590,709
87;-1332040,085;-1377000,592;-1422755,626
88;-1334511,881;-1375281,826;-1421167,205
89;-1333379,407;-1373450,571;-1417657,382
90;-1330424,418;-1370693,914;-1419010,677
91;-1327955,688;-1370209,22;-1422983,879
92;-1327578,554;-1369497,956;-1417633,06
93;-1326767,985;-1367579,785;-1418532,831
94;-1325659,739;-1367157,574;-1418148,595
95;-1321040,333;-1366263,567;-1422819,478
96;-1321035,672;-1363613,028;-1416562,23
97;-1315506,499;-1361688,862;-1420789,574
98;-1317155,243;-1360632,241;-1413422,134
99;-1313117,172;-1359035,939;-1411844,294
100;-1314291,705;-1357002,861;-1403141,417
