Population size: 100;;;
Generation amount: 100;;;
Crossing probability: 0,5;;;
Mutation probability: 0,5;;;
Tournament parameter: 5;;;
;;;
;;;
Deviation : 9599,87335619832;;;
PopulationNumber;Best;Average;Worst
1;-164060,701;-226587,0164;-289348,7078
2;-144353,9437;-206380,8207;-270318,2727
3;-140850,3101;-198083,0982;-260925,3204
4;-137865,5023;-192325,6947;-255455,6184
5;-135261,6278;-188414,3331;-251284,2494
6;-133348,9946;-185656,8149;-253395,2542
7;-125766,4109;-181659,2202;-246704,5145
8;-124602,6294;-179861,8664;-245153,7313
9;-126678,4838;-177784,1308;-247206,762
10;-119527,0106;-177056,1386;-235956,5294
11;-125188,8186;-176311,2575;-245088,8694
12;-119944,6893;-174416,8102;-236901,9921
13;-119348,4735;-174149,6568;-234802,313
14;-120072,9058;-172563,2374;-241323,3202
15;-122404,395;-171348,9519;-237368,6919
16;-118656,0688;-171607,1193;-232559,2588
17;-119945,068;-173230,8322;-233544,1039
18;-117934,7044;-172257,6028;-241123,2173
19;-116455,6806;-170926,9922;-236382,123
20;-120094,5622;-172490,8643;-237994,2281
21;-117746,8004;-171104,3918;-240249,139
22;-113127,637;-171825,6791;-237487,2932
23;-118201,1596;-172616,2025;-237838,519
24;-115812,8591;-171883,6294;-237819,1302
25;-119520,3301;-169831,8785;-230445,5696
26;-118372,6651;-168303,7736;-228678,5473
27;-119406,0813;-167862,5375;-240124,7876
28;-111425,8176;-168390,8105;-232939,2698
29;-110006,4306;-168353,0581;-235395,0917
30;-110616,1918;-166616,6778;-233058,3656
31;-113358,99;-166134,444;-232475,5503
32;-111252,2186;-164775,9214;-238129,9639
33;-109977,6157;-163594,9135;-230258,3388
34;-111469,9724;-160526,9674;-226607,6951
35;-109706,1122;-161611,9502;-231596,457
36;-108761,8204;-159230,2456;-226831,7687
37;-108580,9816;-158044,3832;-219729,9789
38;-107921,1716;-159040,8762;-224782,2094
39;-108305,2281;-158562,975;-227243,5783
40;-106750,3293;-158217,164;-222728,6277
41;-107386,8862;-158011,1073;-229416,6019
42;-106014,9664;-156202,9565;-223614,1719
43;-110620,9517;-155784,5622;-218566,7555
44;-105316,4458;-156728,5223;-219714,3317
45;-105807,4987;-154688,8349;-223833,667
46;-107476,6514;-155271,409;-224996,1078
47;-107614,5997;-156074,6189;-230624,4617
48;-108447,6992;-153429,0903;-230325,3856
49;-108475,2347;-152665,3684;-221795,5189
50;-106229,9943;-152138,1889;-223924,2054
51;-101507,2251;-151740,9352;-225168,5305
52;-104372,6529;-149445,2679;-223078,7794
53;-105067,4036;-147962,3916;-220289,9974
54;-105307,6773;-150203,3708;-223666,3205
55;-105374,393;-151359,2337;-224189,3756
56;-108415,0397;-152202,312;-222150,6141
57;-106033,699;-153390,3498;-227822,5244
58;-107539,9219;-153185,5856;-227009,1105
59;-106173,1437;-151387,6078;-223714,5657
60;-104431,127;-149810,1082;-228471,7905
61;-102702,6448;-146153,6856;-220149,0509
62;-102356,5027;-143687,3924;-217637,0757
63;-101889,1257;-143604,6734;-218264,3592
64;-101084,3482;-142340,1046;-225676,6605
65;-101061,3019;-139613,775;-209248,5585
66;-97488,92039;-139891,8976;-214156,8725
67;-98923,70403;-137954,1741;-210215,2115
68;-98403,52778;-139171,2988;-214066,9912
69;-96751,54075;-139836,6234;-212218,1629
70;-96784,38688;-137750,2033;-211370,215
71;-96930,9645;-139330,6772;-210264,8381
72;-99366,76933;-139329,1499;-215267,2658
73;-98099,12347;-138312,3502;-214891,419
74;-100055,898;-138326,6638;-211517,7331
75;-99988,82841;-139353,2609;-217917,5104
76;-99654,29603;-140407,9716;-219506,7599
77;-99215,24517;-140959,0676;-220829,6727
78;-102315,9319;-141018,9394;-211301,9911
79;-99762,80857;-142262,9271;-221619,9924
80;-100178,6549;-143305,7361;-216173,5143
81;-98908,38591;-140751,4519;-217448,7559
82;-99033,27768;-138938,7096;-217951,2965
83;-98431,8992;-139463,6561;-207607,309
84;-97103,08173;-139857,4046;-214538,1549
85;-95912,0703;-137901,1422;-221075,5931
86;-95620,72167;-136718,4122;-212129,0124
87;-94401,53782;-137701,3957;-215513,272
88;-95606,2944;-137595,5205;-215015,92
89;-96262,44785;-137716,2684;-218651,8772
90;-97412,3395;-138246,1946;-214092,1382
91;-97397,40103;-137852,4837;-212688,8962
92;-94497,61986;-139854,3058;-222856,8891
93;-92265,0645;-138373,8378;-214775,1834
94;-93763,92884;-137093,3214;-207538,3855
95;-96512,23432;-138457,5969;-214822,0098
96;-96002,69408;-139932,8501;-216438,922
97;-96033,26156;-137714,9355;-210244,7816
98;-97225,98929;-138839,2635;-213921,0185
99;-95408,28027;-140566,8258;-216048,7856
100;-96931,53869;-139873,2944;-219404,2281
