Population size: 1000;;;
Generation amount: 100;;;
Crossing probability: 0,7;;;
Mutation probability: 0,1;;;
Tournament parameter: 50;;;
;;;
;;;
Deviation : 1726,74302126528;;;
PopulationNumber;Best;Average;Worst
1;-1771171,804;-1904490,508;-2026701,64
2;-1709006,022;-1824567,278;-1939542,688
3;-1665360,642;-1776657,257;-1900774,825
4;-1627568,142;-1734647,578;-1853725,229
5;-1601598,853;-1693618,953;-1808297,014
6;-1575389,73;-1657169,816;-1765379,584
7;-1554573,61;-1630317,811;-1725892,692
8;-1531040,343;-1600934,794;-1695222,459
9;-1509347,658;-1574772,55;-1660152,379
10;-1489456,095;-1551905,801;-1632703,576
11;-1471580,84;-1531693,989;-1610520,36
12;-1453518,248;-1511783,987;-1597412,67
13;-1433481,113;-1489998,076;-1562962,326
14;-1416518,015;-1472663,847;-1545684,041
15;-1397515,291;-1453513,041;-1526371,31
16;-1383131,926;-1434771,576;-1501334,58
17;-1363910,667;-1417738,055;-1487693,207
18;-1343420,591;-1399509,136;-1466208,746
19;-1331083,862;-1380542,389;-1443346,571
20;-1318185,524;-1363616,373;-1428979,349
21;-1304848,833;-1350785,771;-1406775,834
22;-1292843,917;-1336472;-1395171,962
23;-1278295,617;-1322649,948;-1381651,572
24;-1266534,946;-1309911,397;-1366032,809
25;-1253649,412;-1297449,727;-1351844,336
26;-1243770,156;-1284624,711;-1338989,645
27;-1236418,806;-1274061,662;-1328368,821
28;-1220640,842;-1264940,388;-1322119,89
29;-1213066,891;-1255069,077;-1312176,575
30;-1202701,637;-1244808,176;-1302808,195
31;-1191207,235;-1234303,827;-1289347,023
32;-1183846,174;-1224213,996;-1276484,196
33;-1177466,685;-1214427,19;-1265912,578
34;-1167436,003;-1206582,535;-1256223,144
35;-1161178,302;-1198268,768;-1250384,963
36;-1153557,418;-1189829,175;-1243891,966
37;-1146016,045;-1181366,998;-1236008,844
38;-1138170,144;-1174107,259;-1228236,315
39;-1132502,609;-1167151,372;-1217931,863
40;-1125059,312;-1159649,048;-1207634,645
41;-1119061,191;-1153994,222;-1206011,645
42;-1110579,587;-1146944,442;-1194257,579
43;-1104071,082;-1139784,495;-1187901,168
44;-1095525,399;-1132490,867;-1184166,067
45;-1088682,342;-1125886,906;-1178493,336
46;-1082480,274;-1120401,783;-1171867,043
47;-1077462,831;-1113735,756;-1166996,038
48;-1074548,095;-1108041,176;-1161759,618
49;-1068674,995;-1103287,043;-1154727,316
50;-1062691,497;-1098326,723;-1148980,794
51;-1058446,13;-1092102,439;-1139512,617
52;-1053310,954;-1086850,039;-1136911,08
53;-1047481,735;-1081976,172;-1128043,792
54;-1043981,471;-1076703,484;-1128219,175
55;-1037244,918;-1071321,076;-1122567,41
56;-1034737,599;-1066352,607;-1115019,281
57;-1029542,653;-1062144,512;-1112822,961
58;-1025214,201;-1058141,568;-1108111,127
59;-1019276,331;-1053490,271;-1099569,757
60;-1014606,801;-1047822,777;-1098258,515
61;-1011818,764;-1042943,998;-1093642,02
62;-1006589,187;-1037729,149;-1084305,526
63;-1003681,793;-1034138,914;-1080111,036
64;-998787,9718;-1030885,585;-1075565,43
65;-995119,5406;-1026857,342;-1074164,035
66;-990379,6738;-1023268,756;-1069682,489
67;-987998,0688;-1018394,236;-1064986,918
68;-982845,46;-1014026,446;-1059274,187
69;-977680,3785;-1010470,521;-1057711,633
70;-973768,9759;-1006171,119;-1052969,147
71;-969947,832;-1002641,769;-1050148,389
72;-967096,3257;-998247,7223;-1044515,229
73;-962572,8093;-993946,0252;-1041902,839
74;-960263,6302;-990655,2435;-1037922,098
75;-956975,0239;-987529,8759;-1031205,248
76;-952788,7393;-983735,7865;-1031541,37
77;-949412,4452;-981414,1883;-1027962,985
78;-947091,7405;-978297,2447;-1023860,198
79;-943516,2445;-975401,9426;-1026516,866
80;-941083,2156;-972006,162;-1024950,104
81;-937445,9658;-968585,3682;-1018158,252
82;-934090,0445;-964778,8012;-1012342,481
83;-928479,5135;-961687,3028;-1008704,648
84;-925874,2766;-957493,1177;-1007060,476
85;-921157,0891;-952282,5848;-998760,5702
86;-917133,4976;-948363,8516;-993215,5547
87;-913869,4604;-945281,7768;-989292,2864
88;-910623,4482;-942402,311;-988670,6545
89;-907515,7106;-938643,6512;-988148,0168
90;-905884,1014;-935249,5358;-979572,6126
91;-901458,2634;-932527,399;-978447,1992
92;-899522,7592;-928058,2995;-976739,3573
93;-896911,5259;-924990,0883;-970136,7503
94;-891934,2274;-922691,0692;-967660,265
95;-889997,2716;-919481,8513;-965669,5853
96;-886562,9929;-915243,0204;-961062,1732
97;-883477,392;-912587,6388;-955592,9953
98;-882485,3455;-910245,5649;-955511,5442
99;-878798,839;-908341,0063;-955432,467
100;-875914,4062;-905169,523;-949397,7343
